sku,name,category,unit,unit_price,unit_cost,is_active
BOM-ITEM-00003,[Blocked - Product Owner แจ้งระงับการใช้งาน] Zound - Thonburi Rajabhat U.,,SET,0.0,0.0,false
BOM-ITEM-00004,MAXHUB - XT10-VB Kit (XC13T+TCP20T+UC S07),,SET,46400.0,31552.0,true
BOM-ITEM-00005,[Blocked - การใช้งานเสร็จสิ้น] ปรับปรุงป้ายฝ่ายเทคโนโลยีสารสนเทศ ประกอบด้วย,,UNIT,0.0,0.0,false
BOM-ITEM-00006,"MAXHUB - V6 IFP Classic 65"" Series (with PC Module Core-i7)",,SET,160300.0,109004.0,true
BOM-ITEM-00007,Neat - Neat Bar SE + Neat Pad SE - Collaboration Bar,,SET,0.0,0.0,true
BOM-ITEM-00008,[Blocked - Product Owner แจ้งระงับการใช้งาน] MAXHUB - UC S10 Promotion (free BM20 Bluetooth Speaker),,SET,16700.0,11356.0,false
BOM-ITEM-00009,MAXHUB - UC S10Pro Promotion (free BM20 Bluetooth Speaker),,SET,25300.0,17204.0,true
BOM-ITEM-00010,MAXHUB - WB01 (SET) Wireless Screen Sharing SET,,SET,22640.0,15395.2,true
BOM-ITEM-00011,MAXHUB - WB05 (SET) Wireless Screen Sharing SET,,SET,25000.0,17000.0,true
BOM-ITEM-00012,MAXHUB - Smart Classroom Solution (with Blackboards),,SET,300000.0,204000.0,true
BOM-ITEM-00013,[Blocked - Product Owner แจ้งระงับการใช้งาน] MAXHUB - Smart Classroom Solution (with Whiteboards),,SET,300000.0,204000.0,false
BOM-ITEM-00014,"MAXHUB - V6 IFP Classic 55"" Series (with PC Module Core-i5)",,SET,106500.0,72420.0,true
BOM-ITEM-00015,"MAXHUB - V6 IFP Classic 65"" Series (with PC Module Core-i5)",,SET,142500.0,96900.0,true
BOM-ITEM-00016,"MAXHUB - V6 IFP Classic 75"" Series (with PC Module Core-i5)",,SET,188400.0,128112.0,true
BOM-ITEM-00017,"MAXHUB - V6 IFP Classic 86"" Series (with PC Module Core-i5)",,SET,263300.0,179044.0,true
BOM-ITEM-00018,"MAXHUB - V6 IFP View Pro 65"" Series (with PC Module Core-i5)",,SET,152100.0,103428.0,true
BOM-ITEM-00019,"MAXHUB - V6 IFP View Pro 86"" Series (with PC Module Core-i5)",,SET,275100.0,187068.0,true
BOM-ITEM-00020,"MAXHUB - V6 IFP Transcend 65"" Series (with PC Module Core-i5)",,SET,206300.0,140284.0,true
BOM-ITEM-00021,"MAXHUB - V6 IFP Transcend 86"" Series (with PC Module Core-i5)",,SET,354700.0,241196.0,true
BOM-ITEM-00022,"MAXHUB - V6 IFP Classic 55"" Series (with PC Module Core-i7)",,SET,124300.0,84524.0,true
BOM-ITEM-00023,"MAXHUB - V6 IFP Classic 75"" Series (with PC Module Core-i7)",,SET,206200.0,140216.0,true
BOM-ITEM-00024,"MAXHUB - V6 IFP Classic 86"" Series (with PC Module Core-i7)",,SET,281100.0,191148.0,true
BOM-ITEM-00025,"MAXHUB - V6 IFP View Pro 65"" Series (with PC Module Core-i7)",,SET,169900.0,115532.0,true
BOM-ITEM-00026,"MAXHUB - V6 IFP View Pro 86"" Series (with PC Module Core-i7)",,SET,292900.0,199172.0,true
BOM-ITEM-00027,"MAXHUB - V6 IFP Transcend 65"" Series (with PC Module Core-i7)",,SET,224100.0,152388.0,true
BOM-ITEM-00028,"MAXHUB - V6 IFP Transcend 86"" Series (with PC Module Core-i7)",,SET,372500.0,253300.0,true
BOM-ITEM-00029,"[Blocked - Product Owner แจ้งระงับการใช้งาน] MAXHUB - V5 IFP Classic55""Series (PC Module Core-i5)",,SET,84300.0,57324.0,false
